WARD_NUM,NAME,COMM_CODE,SECTOR,CLASS,CLASS_CODE,SRG,COMM_STRUCTURE
7,CAPITOL HILL,CAP,CENTRE,Residential,1,BUILT-OUT,1950s
6,CHRISTIE PARK,CHR,WEST,Residential,1,BUILT-OUT,1980s/1990s
10,MAYLAND HEIGHTS,MAL,NORTHEAST,Residential,1,BUILT-OUT,1960s/1970s
13,MILLRISE,MLR,SOUTH,Residential,1,BUILT-OUT,1980s/1990s
8,SCARBORO/ SUNALTA WEST,SSW,CENTRE,Residential,1,BUILT-OUT,1950s
7,POINT MCKAY,POI,CENTRE,Residential,1,BUILT-OUT,1960s/1970s
10,MARLBOROUGH PARK,MPK,NORTHEAST,Residential,1,BUILT-OUT,1960s/1970s
12,12J,12J,SOUTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
3,03W,03W,NORTH,Residual Sub Area,4,N/A,OTHER
3,KEYSTONE HILLS,KSH,NORTH,Residential,1,DEVELOPING,BUILDING OUT
3,COVENTRY HILLS,COV,NORTH,Residential,1,BUILT-OUT,2000s
12,12I,12I,SOUTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
12,MAHOGANY,MAH,SOUTHEAST,Residential,1,DEVELOPING,BUILDING OUT
12,AUBURN BAY,AUB,SOUTHEAST,Residential,1,DEVELOPING,BUILDING OUT
12,SETON,SET,SOUTHEAST,Residential,1,DEVELOPING,BUILDING OUT
13,WOODLANDS,WOO,SOUTH,Residential,1,BUILT-OUT,1980s/1990s
